GROUPCODE	QQNUM	CAPTURE_TIME	IP	IPAREAID	CONTENT	_QUERY_MATCHTERMS	DotIP	Position
807677486	297784142	20201013224206	2257824	999999	搜睡觉	807677486	0.34.115.160	
807677486	1139595918	20200924000031	4809490	999999	@Q群管家 日在校园	807677486	0.73.99.18	
807677486	2802784449	20201012131435	5072691	999999	。	807677486	0.77.103.51	
807677486	297784142	20201008210444	6224619	999999	6 86eA1B94c5e8f779338bb8      50zvyBUDmbIdP4Nhemff1b6370d9b6648619996e44c0cb352f.gifA	807677486	0.94.250.235	
807677486	297784142	20201008210756	6224619	999999	6 86eA1Bacf46f9aa3b15c79      50zvyBUDmbIdP4Nhem2c19b7b28f103bfdbe7d483e712dce09.gifA	807677486	0.94.250.235	
807677486	3188826604	20200922173550	11184472	999999	搜索强奸	807677486	0.170.169.88	
807677486	297784142	20201009234019	11623966	999999	搜明星	807677486	0.177.94.30	
807677486	297784142	20201010001052	11623966	999999	搜按摩	807677486	0.177.94.30	
807677486	1414513306	20201006104657	14001178	999999	搜七大罪	807677486	0.213.164.26	
807677486	1909059481	20201005040631	22070075	610112	6 86eA1B8c3962087b97bea2      50KrMWvb9NhSWXbWvv4305C906CE5AE6AFFC6734D78C3583AD.jpgA	807677486	1.80.195.59	中国陕西省西安市
807677486	3590174030	20201010234011	30151897	520111	搜索白丝	807677486	1.204.20.217	中国贵州省贵阳市
807677486	3590174030	20201010234321	30151897	520111	搜索火影忍者	807677486	1.204.20.217	中国贵州省贵阳市
807677486	2717155303	20201017204805	30305003	522302	6 86eA1B89a616e879338bb8      50M8H4KMIP7dnId2xw3E4E7C9976B7CDFDA73F54824FE584BE.jpgA	807677486	1.206.106.235	中国贵州省黔西南布依族苗族自治州
807677486	3122998984	20200922223410	30355579	522600	6 92kA19e5c6cfd       0       0tJhH3IdgHJSxd3Qf{B6681065-4952-2847-626F-01A60257288D}.jpgA	807677486	1.207.48.123	中国贵州省黔东南苗族侗族自治州
807677486	2534884458	20200930164246	247815892	440307	厨房	807677486	14.197.94.212	中国广东省深圳市龙岗区
807677486	2534884458	20200930164316	247815892	440307	6 86eA1B92db0080b703e13a      50q4eKTMxBiTM5V7jYc8b79e5a11b20498a457be47c8cb2951.gifA	807677486	14.197.94.212	中国广东省深圳市龙岗区
807677486	2998985922	20201003224056	465471671	130207	！	807677486	27.190.136.183	中国河北省唐山市丰南区
807677486	2998985922	20201003224223	465471671	130207		807677486	27.190.136.183	中国河北省唐山市丰南区
807677486	872201401	20200930102835	465493252	130200	搜索布尔玛	807677486	27.190.221.4	中国河北省唐山市丰南区
807677486	872201401	20200930131153	465493252	130200	搜索宇崎	807677486	27.190.221.4	中国河北省唐山市丰南区
807677486	872201401	20200930145305	465493252	130200		807677486	27.190.221.4	中国河北省唐山市丰南区
807677486	872201401	20200930170447	465493252	130200	搜索玩具酱	807677486	27.190.221.4	中国河北省唐山市丰南区
807677486	872201401	20200930215421	465493252	130200	搜索玩具	807677486	27.190.221.4	中国河北省唐山市丰南区
807677486	872201401	20201001112822	465493252	130200	搜索一下	807677486	27.190.221.4	中国河北省唐山市丰南区
807677486	872201401	20201001124245	465493252	130200	开启发片功能	807677486	27.190.221.4	中国河北省唐山市丰南区
807677486	2998985922	20201002152735	465493252	130200	搜索网红	807677486	27.190.221.4	中国河北省唐山市丰南区
807677486	2998985922	20201002164646	465493252	130200	搜索MIAD-576  コンビニエンス肉便器 万引き少女	807677486	27.190.221.4	中国河北省唐山市丰南区
807677486	2998985922	20201002182006	465493252	130200	搜索STARS-256	807677486	27.190.221.4	中国河北省唐山市丰南区
807677486	2998985922	20201002183745	465493252	130200	搜索男闺蜜	807677486	27.190.221.4	中国河北省唐山市丰南区
807677486	2998985922	20201002183824	465493252	130200	搜索绿帽	807677486	27.190.221.4	中国河北省唐山市丰南区
807677486	463937911	20201011123918	465527390	130208	6 86eA1Ba168de76b7c0c4cd      50xAuuumQFI5NDqrXeF9DC590F8BB02637B9EBCFA673C544F5.gifA	807677486	27.191.98.94	中国河北省唐山市丰润区
807677486	463937911	20201011123925	465527390	130208	6 86eA1Ba387dd09b7c0c4cd      50xAuuumQFI5NDqrXeB7FB7E307B3481C029A7CD45ED0A82E3.gifA	807677486	27.191.98.94	中国河北省唐山市丰润区
807677486	463937911	20201011123927	465527390	130208	6 86eA1B8db87571b7c0c4cd      50xAuuumQFI5NDqrXe17FADB1B589C306AA1626CC047A0AE87.gifA	807677486	27.191.98.94	中国河北省唐山市丰润区
807677486	463937911	20201011123933	465527390	130208	6 86eA1B938ce3ec65e38f6d      50xAuuumQFI5NDqrXeFCDE320EE5CB8953E745D15E478116B0.gifA	807677486	27.191.98.94	中国河北省唐山市丰润区
807677486	463937911	20201011123938	465527390	130208	6 86eA1B847f9b7265e38f6d      50xAuuumQFI5NDqrXe296B8A4C8F0C497D83A696B58B10B997.gifA	807677486	27.191.98.94	中国河北省唐山市丰润区
807677486	463937911	20201011124448	465527390	130208	6 86eA1Ba015a4b1dfa76822      50xAuuumQFI5NDqrXe20D975A48A7A4B9EA5760F0558644C0C.gifA	807677486	27.191.98.94	中国河北省唐山市丰润区
807677486	463937911	20201011124451	465527390	130208	6 86eA1B82bc7ec0dfa7562a      50xAuuumQFI5NDqrXeE199AD8AF70590EBB916FC2377909062.gifA	807677486	27.191.98.94	中国河北省唐山市丰润区
