GROUPID	USERID	APPID	CAPTURE_TIME	CLIENTIP	CONTENT	_QUERY_MATCHTERMS	IPAREAID	DotIP	Position
22051092150	490077168	wxid_zz5vtad4cs1w22	20200924150310	3730767513	这种类型的女孩私我  🥢 1800  能👄 的来，带gzs顶美可抬   🉑 挑	13 14 3201 3403 3406 3411 3713 4406 带gzs 的来 私	320106	222.94.254.153	中国江苏省南京市
6828017694	490077168	wxid_zz5vtad4cs1w22	20200924150358	3730767513	这种类型的女孩私我  🥢 1800  能👄 的来，带gzs顶美可抬   🉑 挑	13 14 3201 3403 3406 3411 3713 4406 带gzs 的来 私	320106	222.94.254.153	中国江苏省南京市
22979982690	2019841582	wxid_w2bmamx61ow521	20200924184129	1971858688	🥢15   带gzs的，大好的来，照骗无路	13 14 3201 3403 3406 3411 3713 4406 带gzs 的来 私	320100	117.136.45.0	中国江苏省南京市
24385669501	2019841582	wxid_w2bmamx61ow521	20200924184154	1971858688	🥢15   带gzs的，大好的来，照骗无路	13 14 3201 3403 3406 3411 3713 4406 带gzs 的来 私	320100	117.136.45.0	中国江苏省南京市
22339753328	2019841582	wxid_w2bmamx61ow521	20200924184208	1971858688	🥢15   带gzs的，大好的来，照骗无路	13 14 3201 3403 3406 3411 3713 4406 带gzs 的来 私	320100	117.136.45.0	中国江苏省南京市
19659406219	2019841582	wxid_w2bmamx61ow521	20200924184351	1971858688	🥢15   预约九点半，带gzs的，大好的来，照骗无路，	13 14 3201 3403 3406 3411 3713 4406 带gzs 的来 私	320100	117.136.45.0	中国江苏省南京市
23815290732	1391218290	wxid_iezpwmp8hm0a12	20200928134049	1862000473	✌🏻️  首3   35带gzs来，大长腿脾气好不事的来，k帅哥超级帅，	13 14 3201 3403 3406 3411 3713 4406 带gzs 的来 私	131022	110.251.223.89	中国河北省廊坊市固安县
25088858203	1391218290	wxid_iezpwmp8hm0a12	20200928134101	1862000473	✌🏻️  首3   35带gzs来，大长腿脾气好不事的来，k帅哥超级帅，	13 14 3201 3403 3406 3411 3713 4406 带gzs 的来 私	131022	110.251.223.89	中国河北省廊坊市固安县
23328584999	1391218290	wxid_iezpwmp8hm0a12	20200928134106	1862000473	✌🏻️  首3   35带gzs来，大长腿脾气好不事的来，k帅哥超级帅，	13 14 3201 3403 3406 3411 3713 4406 带gzs 的来 私	131022	110.251.223.89	中国河北省廊坊市固安县
27840016822	1391218290	wxid_iezpwmp8hm0a12	20200928134113	1862000473	✌🏻️  首3   35带gzs来，大长腿脾气好不事的来，k帅哥超级帅，	13 14 3201 3403 3406 3411 3713 4406 带gzs 的来 私	131022	110.251.223.89	中国河北省廊坊市固安县
